StateName,AnimName
Rib_Climb_R1_Stop,Rib_Climb_R1_Stop
Rib_Climb_R2_Stop,Rib_Climb_R2_Stop
Rib_Climb_R_1,Rib_Climb_R_1
Rib_Climb_R_2,Rib_Climb_R_2
Rib_Climb_Stand,Rib_Climb_Stand
Rib_Climb_Start_Down,Rib_Climb_Start_Down
Rib_Climb_Start_Up,Rib_Climb_Start_Up
Rib_Climb_U1_Stop,Rib_Climb_U1_Stop
Rib_Climb_U2_Stop,Rib_Climb_U2_Stop
Rib_Climb_U_1,Rib_Climb_U_1
Rib_Climb_U_2,Rib_Climb_U_2
Rib_Climb_UL1_Stop,Rib_Climb_UL1_Stop
Rib_Climb_UL2_Stop,Rib_Climb_UL2_Stop
Rib_Climb_UL_1,Rib_Climb_UL_1
Rib_Climb_UL_2,Rib_Climb_UL_2
Rib_Climb_UR1_Stop,Rib_Climb_UR1_Stop
Rib_Climb_UR2_Stop,Rib_Climb_UR2_Stop
Rib_Climb_UR_1,Rib_Climb_UR_1
Rib_Climb_UR_2,Rib_Climb_UR_2
Rib_Climb_Vault,Rib_Climb_Vault
Rib_Death,Rib_Death
Rib_Fall_LeanPose_0,Rib_Fall_LeanPose_0
Rib_Fall_Loop,Rib_Fall_Loop
Rib_Fall_Loop_Fast,Rib_Fall_Loop_Fast
Rib_Hook_Up,Rib_Hook_Up
Rib_Jump_Loop,Rib_Jump_Loop
Rib_Jump_Run_LF,Rib_Jump_Run_LF
Rib_Jump_Run_RF,Rib_Jump_Run_RF
Rib_Jump_Second_B,Rib_Jump_Second_B
Rib_Jump_Second_F,Rib_Jump_Second_F
Rib_Jump_Walk_LF,Rib_Jump_Walk_LF
Rib_Jump_Walk_RF,Rib_Jump_Walk_RF
Rib_Move_B,Rib_Move_B
Rib_Move_F,Rib_Move_F
Rib_Move_Limit_B,Rib_Move_Limit_B
Rib_Move_Limit_F,Rib_Move_Limit_F
Rib_Run_B,Rib_Run_B
Rib_Run_F,Rib_Run_F
Rib_Run_LB,Rib_Run_LB
Rib_Run_LF,Rib_Run_LF
Rib_Run_Pose_F,Rib_Run_Pose_F
Rib_Run_Pose_L,Rib_Run_Pose_L
Rib_Run_Pose_R,Rib_Run_Pose_R
Rib_Run_RB,Rib_Run_RB
Rib_Run_RF,Rib_Run_RF
Rib_Run_Turnback,Rib_Run_Turnback
Rib_Sit_L_End,Rib_Sit_L_End
Rib_Sit_L_Start,Rib_Sit_L_Start
Rib_Sit_M_End,Rib_Sit_M_End
Rib_Sit_M_Start,Rib_Sit_M_Start
Rib_Sit_R_End,Rib_Sit_R_End
Rib_Sit_R_Start,Rib_Sit_R_Start
Rib_Sit_Stand,Rib_Sit_Stand
Rib_Skill_Hack,Rib_Skill_Hack
Rib_Skill_Rise,Rib_Skill_Rise
Rib_Skill_Rise_Zero,Rib_Skill_Rise_Zero
Rib_Skill_Strike,Rib_Skill_Strike
Rib_SkillQte,Rib_SkillQte
Rib_SpAttack01,Rib_SpAttack01
Rib_SpAttack02,Rib_SpAttack02
Rib_SpAttack03,Rib_SpAttack03
Rib_SpAttackOmni,Rib_SpAttackOmni
Rib_Sprint_F,Rib_Sprint_F
Rib_Sprint_Impulse_F,Rib_Sprint_Impulse_F
Rib_SpWalk_Dash,Rib_SpWalk_Dash
Rib_SpWalk_Dash_Root,Rib_SpWalk_Dash_Root
Rib_SpWalk_F,Rib_SpWalk_F
Rib_SpWalk_Stop_L,Rib_SpWalk_Stop_L
Rib_SpWalk_Stop_R,Rib_SpWalk_Stop_R
Rib_Stand1,Rib_Stand1
Rib_Stand1_Action01,Rib_Stand1_Action01
Rib_Stand1_Action02,Rib_Stand1_Action02
Rib_Stand1_Action03,Rib_Stand1_Action03
Rib_Stand1_Turn_L90D,Rib_Stand1_Turn_L90D
Rib_Stand1_Turn_R90D,Rib_Stand1_Turn_R90D
Rib_Stand2,Rib_Stand2
Rib_Stand_Control,Rib_Stand_Control
Rib_StandChange,Rib_StandChange
Rib_StandUp,Rib_StandUp
Rib_Stop_Run_L,Rib_Stop_Run_L
Rib_Stop_Run_R,Rib_Stop_Run_R
Rib_Stop_Sprint_L,Rib_Stop_Sprint_L
Rib_Stop_Sprint_R,Rib_Stop_Sprint_R
Rib_Stop_Walk_L,Rib_Stop_Walk_L
Rib_Stop_Walk_R,Rib_Stop_Walk_R
Rib_Super_Sprint_End,Rib_Super_Sprint_End
Rib_Super_Sprint_Start,Rib_Super_Sprint_Start
Rib_Super_Sprint_Start_F,Rib_Super_Sprint_Start_F
Rib_Walk_B,Rib_Walk_B
Rib_Walk_F,Rib_Walk_F
Rib_Walk_LB,Rib_Walk_LB
Rib_Walk_LF,Rib_Walk_LF
Rib_Walk_Pose_F,Rib_Walk_Pose_F
Rib_Walk_Pose_L,Rib_Walk_Pose_L
Rib_Walk_Pose_R,Rib_Walk_Pose_R
Rib_Walk_RB,Rib_Walk_RB
Rib_Walk_RF,Rib_Walk_RF
Run_B,Run_B
Run_BasePose,Run_BasePose
Run_F,Run_F
Run_LB,Run_LB
Run_LF,Run_LF
Run_Pose_F,Run_Pose_F
Run_Pose_L,Run_Pose_L
Run_Pose_R,Run_Pose_R
Run_RB,Run_RB
Run_RF,Run_RF
Run_Turnback,Run_Turnback
Sit_L_End,Sit_L_End
Sit_L_Start,Sit_L_Start
Sit_M_End,Sit_M_End
Sit_M_Start,Sit_M_Start
Sit_R_End,Sit_R_End
Sit_R_Start,Sit_R_Start
Sit_Stand,Sit_Stand
Skill_Hack,Skill_Hack
Skill_Rise,Skill_Rise
Skill_Rise_Zero,Skill_Rise_Zero
Skill_Strike,Skill_Strike
SkillQTE,SkillQTE
SpAttack01,SpAttack01
SpAttack02,SpAttack02
SpAttack03,SpAttack03
SpAttackOmni,SpAttackOmni
Sprint_F,Sprint_F
Sprint_Impulse_F,Sprint_Impulse_F
SpWalk_Dash,SpWalk_Dash
SpWalk_Dash_Root,SpWalk_Dash_Root
SpWalk_F,SpWalk_F
SpWalk_Stand,SpWalk_Stand
SpWalk_Stop_L,SpWalk_Stop_L
SpWalk_Stop_R,SpWalk_Stop_R
Stand1,Stand1
Stand1.001,Stand1.001
Stand1_Action01,Stand1_Action01
Stand1_Action01.001,Stand1_Action01.001
Stand1_Action02,Stand1_Action02
Stand1_Action03,Stand1_Action03
Stand1_Turn_L90D,Stand1_Turn_L90D
Stand1_Turn_R90D,Stand1_Turn_R90D
Stand2,Stand2
Stand_Control,Stand_Control
StandChange,StandChange
StandUp,StandUp
Stop_Run_L,Stop_Run_L
Stop_Run_R,Stop_Run_R
Stop_Sprint_L,Stop_Sprint_L
Stop_Sprint_R,Stop_Sprint_R
Stop_Walk_L,Stop_Walk_L
Stop_Walk_R,Stop_Walk_R
Super_Sprint_End,Super_Sprint_End
Super_Sprint_Start,Super_Sprint_Start
Super_Sprint_Start_F,Super_Sprint_Start_F
Walk_B,Walk_B
Walk_F,Walk_F
Walk_LB,Walk_LB
Walk_LF,Walk_LF
Walk_Pose_F,Walk_Pose_F
Walk_Pose_L,Walk_Pose_L
Walk_Pose_R,Walk_Pose_R
Walk_RB,Walk_RB
Walk_RF,Walk_RF
