StateName,AnimName,Duration,Parts Bone
Manipulate_Release_F,Manipulate_Release_F,60,
Manipulate_Release_F_02,Manipulate_Release_F_02,60,
Move_B,Move_B,40,
Move_F,Move_F,40,
Move_Limit_B,Move_Limit_B,60,
Move_Limit_F,Move_Limit_F,60,
Pose,Pose,1,
Rib_AirAttack_End,Rib_AirAttack_End,113,
Rib_AirAttack_Loop_1,Rib_AirAttack_Loop_1,18,
Rib_AirAttack_Loop_2,Rib_AirAttack_Loop_2,40,
Rib_AirAttack_Start,Rib_AirAttack_Start,21,
Rib_Attack01,Rib_Attack01,135,
Rib_Attack02,Rib_Attack02,308,
Rib_Attack03,Rib_Attack03,357,
Rib_Attack04,Rib_Attack04,313,
Rib_Attack05,Rib_Attack05,141,
Rib_Attack06,Rib_Attack06,132,
Rib_Attack07,Rib_Attack07,380,
Rib_Attack08,Rib_Attack08,226,
Rib_Attack_charge,Rib_Attack_charge,57,
Rib_Attack_H_01,Rib_Attack_H_01,167,
Rib_Attack_H_0201,Rib_Attack_H_0201,85,
Rib_Attack_H_0202,Rib_Attack_H_0202,153,
Rib_Attack_H_0203,Rib_Attack_H_0203,157,
Rib_Attack_Jump_End02,Rib_Attack_Jump_End02,30,
Rib_Attack_Jump_Start,Rib_Attack_Jump_Start,31,
Rib_Behit_B_L,Rib_Behit_B_L,61,
Rib_Behit_B_R,Rib_Behit_B_R,58,
Rib_Behit_Fly_Fall,Rib_Behit_Fly_Fall,30,
Rib_Behit_Fly_Loop,Rib_Behit_Fly_Loop,40,
Rib_Behit_Fly_Start,Rib_Behit_Fly_Start,30,
Rib_Behit_Hover,Rib_Behit_Hover,30,
Rib_Behit_Push_Fall,Rib_Behit_Push_Fall,32,
Rib_Behit_Push_Loop,Rib_Behit_Push_Loop,40,
Rib_Behit_Push_Start,Rib_Behit_Push_Start,30,
Rib_Behit_S_L,Rib_Behit_S_L,60,
Rib_Behit_S_R,Rib_Behit_S_R,54,
Rib_Burst01,Rib_Burst01,182,
Rib_Captured,Rib_Captured,46,
Rib_Climb_Boost_L,Rib_Climb_Boost_L,16,
Rib_Climb_Boost_L_Start,Rib_Climb_Boost_L_Start,21,
Rib_Climb_Boost_L_Stop,Rib_Climb_Boost_L_Stop,35,
Rib_Climb_Boost_OnTop_LF,Rib_Climb_Boost_OnTop_LF,16,
Rib_Climb_Boost_OnTop_RF,Rib_Climb_Boost_OnTop_RF,16,
Rib_Climb_Boost_OnTopToSprint_LF,Rib_Climb_Boost_OnTopToSprint_LF,27,
Rib_Climb_Boost_OnTopToSprint_RF,Rib_Climb_Boost_OnTopToSprint_RF,27,
Rib_Climb_Boost_R,Rib_Climb_Boost_R,16,
Rib_Climb_Boost_R_Start,Rib_Climb_Boost_R_Start,15,
Rib_Climb_Boost_R_Stop,Rib_Climb_Boost_R_Stop,35,
Rib_Climb_Boost_ShortVault_LF,Rib_Climb_Boost_ShortVault_LF,11,
Rib_Climb_Boost_ShortVault_RF,Rib_Climb_Boost_ShortVault_RF,11,
Rib_Climb_Boost_ShortVaultToSprint_LF,Rib_Climb_Boost_ShortVaultToSprint_LF,25,
Rib_Climb_Boost_ShortVaultToSprint_RF,Rib_Climb_Boost_ShortVaultToSprint_RF,25,
Rib_Climb_Boost_U,Rib_Climb_Boost_U,16,
Rib_Climb_Boost_U_Start,Rib_Climb_Boost_U_Start,20,
Rib_Climb_Boost_U_Stop,Rib_Climb_Boost_U_Stop,35,
Rib_Climb_Boost_Vault,Rib_Climb_Boost_Vault,29,
Rib_Climb_Boost_VaultToFall,Rib_Climb_Boost_VaultToFall,16,
Rib_Climb_Boost_VaultTop,Rib_Climb_Boost_VaultTop,44,
Rib_Climb_D1_Stop,Rib_Climb_D1_Stop,80,
Rib_Climb_D2_Stop,Rib_Climb_D2_Stop,80,
Rib_Climb_D_1,Rib_Climb_D_1,40,
Rib_Climb_D_2,Rib_Climb_D_2,40,
Rib_Climb_Dash_D,Rib_Climb_Dash_D,40,
Rib_Climb_Dash_DL,Rib_Climb_Dash_DL,40,
Rib_Climb_Dash_DR,Rib_Climb_Dash_DR,40,
Rib_Climb_Dash_L,Rib_Climb_Dash_L,40,
Rib_Climb_Dash_R,Rib_Climb_Dash_R,40,
Rib_Climb_Dash_U,Rib_Climb_Dash_U,40,
Rib_Climb_Dash_UL,Rib_Climb_Dash_UL,40,
Rib_Climb_Dash_UR,Rib_Climb_Dash_UR,40,
Rib_Climb_DL1_Stop,Rib_Climb_DL1_Stop,80,
Rib_Climb_DL2_Stop,Rib_Climb_DL2_Stop,80,
Rib_Climb_DL_1,Rib_Climb_DL_1,40,
Rib_Climb_DL_2,Rib_Climb_DL_2,40,
Rib_Climb_DR1_Stop,Rib_Climb_DR1_Stop,80,
Rib_Climb_DR2_Stop,Rib_Climb_DR2_Stop,80,
Rib_Climb_DR_1,Rib_Climb_DR_1,40,
Rib_Climb_DR_2,Rib_Climb_DR_2,40,
Rib_Climb_L1_Stop,Rib_Climb_L1_Stop,80,
Rib_Climb_L2_Stop,Rib_Climb_L2_Stop,80,
Rib_Climb_L_1,Rib_Climb_L_1,40,
Rib_Climb_L_2,Rib_Climb_L_2,40,
Rib_Climb_Move,Rib_Climb_Move,30,
Rib_Climb_OnTop,Rib_Climb_OnTop,53,
Rib_Climb_R1_Stop,Rib_Climb_R1_Stop,80,
Rib_Climb_R2_Stop,Rib_Climb_R2_Stop,80,
Rib_Climb_R_1,Rib_Climb_R_1,40,
Rib_Climb_R_2,Rib_Climb_R_2,40,
Rib_Climb_Stand,Rib_Climb_Stand,80,
Rib_Climb_Start_Down,Rib_Climb_Start_Down,45,
Rib_Climb_Start_Up,Rib_Climb_Start_Up,45,
Rib_Climb_U1_Stop,Rib_Climb_U1_Stop,80,
Rib_Climb_U2_Stop,Rib_Climb_U2_Stop,80,
Rib_Climb_U_1,Rib_Climb_U_1,40,
Rib_Climb_U_2,Rib_Climb_U_2,40,
Rib_Climb_UL1_Stop,Rib_Climb_UL1_Stop,80,
Rib_Climb_UL2_Stop,Rib_Climb_UL2_Stop,80,
Rib_Climb_UL_1,Rib_Climb_UL_1,40,
Rib_Climb_UL_2,Rib_Climb_UL_2,40,
Rib_Climb_UR1_Stop,Rib_Climb_UR1_Stop,80,
Rib_Climb_UR2_Stop,Rib_Climb_UR2_Stop,80,
Rib_Climb_UR_1,Rib_Climb_UR_1,40,
Rib_Climb_UR_2,Rib_Climb_UR_2,40,
Rib_Climb_Vault,Rib_Climb_Vault,48,
Rib_Death,Rib_Death,75,
Rib_Death_InWater,Rib_Death_InWater,95,
Rib_Drag_End,Rib_Drag_End,130,
Rib_Drag_Loop_D,Rib_Drag_Loop_D,60,
Rib_Drag_Loop_F,Rib_Drag_Loop_F,60,
Rib_Drag_Loop_U,Rib_Drag_Loop_U,60,
Rib_Drag_Start_D,Rib_Drag_Start_D,50,
Rib_Drag_Start_F,Rib_Drag_Start_F,50,
Rib_Drag_Start_U,Rib_Drag_Start_U,50,
Rib_Execution_Fuludelisi,Rib_Execution_Fuludelisi,380,
Rib_Fall_LeanPose_0,Rib_Fall_LeanPose_0,1,
Rib_Fall_Loop,Rib_Fall_Loop,80,
Rib_Fall_Loop_Fast,Rib_Fall_Loop_Fast,80,
Rib_FixHook_End,Rib_FixHook_End,40,
Rib_FixHook_End_Fast,Rib_FixHook_End_Fast,40,
Rib_FixHook_Loop_D,Rib_FixHook_Loop_D,200,
Rib_FixHook_Loop_F,Rib_FixHook_Loop_F,200,
Rib_FixHook_Loop_L,Rib_FixHook_Loop_L,200,
Rib_FixHook_Loop_R,Rib_FixHook_Loop_R,200,
Rib_FixHook_Loop_U,Rib_FixHook_Loop_U,200,
Rib_FixHook_Start01_D,Rib_FixHook_Start01_D,15,
Rib_FixHook_Start01_F,Rib_FixHook_Start01_F,15,
Rib_FixHook_Start01_U,Rib_FixHook_Start01_U,15,
Rib_FixHook_Start02_D,Rib_FixHook_Start02_D,45,
Rib_FixHook_Start02_F,Rib_FixHook_Start02_F,45,
Rib_FixHook_Start02_U,Rib_FixHook_Start02_U,45,
Rib_Fly_Pose_B,Rib_Fly_Pose_B,160,
Rib_Fly_Pose_F,Rib_Fly_Pose_F,160,
Rib_Fly_Pose_L,Rib_Fly_Pose_L,160,
Rib_Fly_Pose_R,Rib_Fly_Pose_R,160,
Rib_Fly_Stand,Rib_Fly_Stand,160,
Rib_Fly_Start,Rib_Fly_Start,104,
Rib_Hook_Up,Rib_Hook_Up,40,
Rib_Jump_Loop,Rib_Jump_Loop,40,
Rib_Jump_Run_LF,Rib_Jump_Run_LF,21,
Rib_Jump_Run_RF,Rib_Jump_Run_RF,21,
Rib_Jump_Second_B,Rib_Jump_Second_B,30,
Rib_Jump_Second_F,Rib_Jump_Second_F,30,
Rib_Jump_Walk_LF,Rib_Jump_Walk_LF,21,
Rib_Jump_Walk_RF,Rib_Jump_Walk_RF,21,
Rib_Land_Heavy,Rib_Land_Heavy,50,
Rib_Land_Light,Rib_Land_Light,31,
Rib_Land_Roll,Rib_Land_Roll,55,
Rib_Landslide_B,Rib_Landslide_B,100,
Rib_Landslide_B_ToSprint,Rib_Landslide_B_ToSprint,16,
Rib_Landslide_F,Rib_Landslide_F,100,
Rib_Landslide_Sprint_Loop,Rib_Landslide_Sprint_Loop,50,
Rib_Landslide_Sprint_Pose_F,Rib_Landslide_Sprint_Pose_F,1,
Rib_Landslide_Sprint_Start,Rib_Landslide_Sprint_Start,24,
Rib_LeanPose_0,Rib_LeanPose_0,1,
Rib_LeanPose_B,Rib_LeanPose_B,1,
Rib_LeanPose_F,Rib_LeanPose_F,1,
Rib_LeanPose_L,Rib_LeanPose_L,1,
Rib_LeanPose_R,Rib_LeanPose_R,1,
Rib_LocoDetail_Accel_B,Rib_LocoDetail_Accel_B,30,
Rib_LocoDetail_Accel_F,Rib_LocoDetail_Accel_F,30,
Rib_LocoDetail_Accel_L,Rib_LocoDetail_Accel_L,30,
Rib_LocoDetail_Accel_R,Rib_LocoDetail_Accel_R,30,
Rib_Manipulate_Absorb_End,Rib_Manipulate_Absorb_End,28,
Rib_Manipulate_Absorb_Loop,Rib_Manipulate_Absorb_Loop,80,
Rib_Manipulate_Absorb_Start,Rib_Manipulate_Absorb_Start,35,
Rib_Manipulate_Hold,Rib_Manipulate_Hold,1,
Rib_Manipulate_Release_F,Rib_Manipulate_Release_F,60,
Rib_Manipulate_Release_F_02,Rib_Manipulate_Release_F_02,60,
Rib_Move_B,Rib_Move_B,40,
Rib_Move_F,Rib_Move_F,40,
Rib_Move_Limit_B,Rib_Move_Limit_B,60,
Rib_Move_Limit_F,Rib_Move_Limit_F,60,
Rib_Run_B,Rib_Run_B,22,
Rib_Run_F,Rib_Run_F,22,
Rib_Run_LB,Rib_Run_LB,22,
Rib_Run_LF,Rib_Run_LF,22,
Rib_Run_Pose_F,Rib_Run_Pose_F,1,
Rib_Run_Pose_L,Rib_Run_Pose_L,1,
Rib_Run_Pose_R,Rib_Run_Pose_R,1,
Rib_Run_RB,Rib_Run_RB,22,
Rib_Run_RF,Rib_Run_RF,22,
Rib_Run_Turnback,Rib_Run_Turnback,50,
Rib_Sit_L_End,Rib_Sit_L_End,74,
Rib_Sit_L_Start,Rib_Sit_L_Start,74,
Rib_Sit_M_End,Rib_Sit_M_End,50,
Rib_Sit_M_Start,Rib_Sit_M_Start,47,
Rib_Sit_R_End,Rib_Sit_R_End,76,
Rib_Sit_R_Start,Rib_Sit_R_Start,55,
Rib_Sit_Stand,Rib_Sit_Stand,358,
Rib_Skill01,Rib_Skill01,218,
Rib_SkillQte,Rib_SkillQte,167,
Rib_Sprint_F,Rib_Sprint_F,16,
Rib_Sprint_Impulse_F,Rib_Sprint_Impulse_F,16,
Rib_Stand1,Rib_Stand1,80,
Rib_Stand1_Action01,Rib_Stand1_Action01,363,
Rib_Stand1_Action02,Rib_Stand1_Action02,591,
Rib_Stand1_Action03,Rib_Stand1_Action03,665,
Rib_Stand1_Turn_L90D,Rib_Stand1_Turn_L90D,45,
Rib_Stand1_Turn_R90D,Rib_Stand1_Turn_R90D,45,
Rib_Stand2,Rib_Stand2,80,
Rib_Stand3,Rib_Stand3,80,
Rib_Stand_Control,Rib_Stand_Control,59,
Rib_StandChange,Rib_StandChange,372,
Rib_StandChange02,Rib_StandChange02,392,
Rib_StandUp,Rib_StandUp,40,
Rib_Stop_Run_L,Rib_Stop_Run_L,40,
Rib_Stop_Run_R,Rib_Stop_Run_R,40,
Rib_Stop_Sprint_L,Rib_Stop_Sprint_L,44,
Rib_Stop_Sprint_R,Rib_Stop_Sprint_R,44,
Rib_Stop_Walk_L,Rib_Stop_Walk_L,45,
Rib_Stop_Walk_R,Rib_Stop_Walk_R,45,
Rib_Summon,Rib_Summon,55,
Rib_Super_Sprint_End,Rib_Super_Sprint_End,17,
Rib_Super_Sprint_Start,Rib_Super_Sprint_Start,13,
Rib_Super_Sprint_Start_F,Rib_Super_Sprint_Start_F,18,
Rib_Swim_Fall,Rib_Swim_Fall,48,
Rib_Swim_Loop_F,Rib_Swim_Loop_F,30,
Rib_Swim_Loop_L,Rib_Swim_Loop_L,30,
Rib_Swim_Loop_R,Rib_Swim_Loop_R,30,
Rib_Swim_Stand,Rib_Swim_Stand,50,
Rib_SwimUp_Loop_F,Rib_SwimUp_Loop_F,24,
Rib_SwimUp_Loop_L,Rib_SwimUp_Loop_L,24,
Rib_SwimUp_Loop_R,Rib_SwimUp_Loop_R,24,
Rib_Ui_Chip_End,Rib_Ui_Chip_End,126,
Rib_Ui_Chip_Loop,Rib_Ui_Chip_Loop,180,
Rib_Ui_Chip_Start,Rib_Ui_Chip_Start,40,
Rib_Ui_Nature_End,Rib_Ui_Nature_End,158,
Rib_Ui_Nature_Loop,Rib_Ui_Nature_Loop,636,
Rib_Ui_Nature_Start,Rib_Ui_Nature_Start,190,
Rib_Ui_Resonant_End,Rib_Ui_Resonant_End,148,
Rib_Ui_Resonant_Loop,Rib_Ui_Resonant_Loop,565,
Rib_Ui_Resonant_Start,Rib_Ui_Resonant_Start,118,
Rib_Ui_Weapon_End,Rib_Ui_Weapon_End,130,
Rib_Ui_Weapon_Loop,Rib_Ui_Weapon_Loop,480,
Rib_Ui_Weapon_Start,Rib_Ui_Weapon_Start,70,
Rib_Walk_B,Rib_Walk_B,38,
Rib_Walk_F,Rib_Walk_F,38,
Rib_Walk_LB,Rib_Walk_LB,38,
Rib_Walk_LF,Rib_Walk_LF,38,
Rib_Walk_Pose_F,Rib_Walk_Pose_F,1,
Rib_Walk_Pose_L,Rib_Walk_Pose_L,1,
Rib_Walk_Pose_R,Rib_Walk_Pose_R,1,
Rib_Walk_RB,Rib_Walk_RB,38,
Rib_Walk_RF,Rib_Walk_RF,38,
Rib_XA_Loop_D,Rib_XA_Loop_D,160,
Rib_XA_Loop_L,Rib_XA_Loop_L,160,
Rib_XA_Loop_R,Rib_XA_Loop_R,160,
Rib_XA_Loop_RL_Mid,Rib_XA_Loop_RL_Mid,160,
Rib_XA_Loop_Stand,Rib_XA_Loop_Stand,160,
Rib_XA_Loop_U,Rib_XA_Loop_U,160,
Rib_XA_Shake_Loop,Rib_XA_Shake_Loop,120,
Rib_XA_Start,Rib_XA_Start,36,
Run_B,Run_B,22,
Run_BasePose,Run_BasePose,1,
Run_F,Run_F,22,
Run_LB,Run_LB,22,
Run_LF,Run_LF,22,
Run_Pose_F,Run_Pose_F,1,
Run_Pose_L,Run_Pose_L,1,
Run_Pose_R,Run_Pose_R,1,
Run_RB,Run_RB,22,
Run_RF,Run_RF,22,
Run_Turnback,Run_Turnback,50,
Sit_L_End,Sit_L_End,74,
Sit_L_Start,Sit_L_Start,74,
Sit_M_End,Sit_M_End,50,
Sit_M_Start,Sit_M_Start,47,
Sit_R_End,Sit_R_End,76,
Sit_R_Start,Sit_R_Start,55,
Sit_Stand,Sit_Stand,358,
Skill01,Skill01,218,강화 e 스킬시작. (200)
Skill02,Skill02,248,Skill01 마지막 시점에 눌러야함.
Sprint_F,Sprint_F,16,
Sprint_Impulse_F,Sprint_Impulse_F,16,
Stand1,Stand1,80,
Stand1_Action01,Stand1_Action01,363,
Stand1_Action02,Stand1_Action02,591,
Stand1_Action03,Stand1_Action03,665,
Stand1_Turn_L90D,Stand1_Turn_L90D,45,
Stand1_Turn_R90D,Stand1_Turn_R90D,45,
Stand2,Stand2,80,
Stand3,Stand3,80,
Stand_Control,Stand_Control,59,
StandChange,StandChange,372,
StandChange02,StandChange02,392,
StandUp,StandUp,40,
Stop_Run_L,Stop_Run_L,40,
Stop_Run_R,Stop_Run_R,40,
Stop_Sprint_L,Stop_Sprint_L,44,
Stop_Sprint_R,Stop_Sprint_R,44,
Stop_Walk_L,Stop_Walk_L,45,
Stop_Walk_R,Stop_Walk_R,45,
Summon,Summon,55,
Super_Sprint_End,Super_Sprint_End,17,
Super_Sprint_Start,Super_Sprint_Start,13,
Super_Sprint_Start_F,Super_Sprint_Start_F,18,
Swim_Fall,Swim_Fall,48,
Swim_Loop_F,Swim_Loop_F,30,
Swim_Loop_L,Swim_Loop_L,30,
Swim_Loop_R,Swim_Loop_R,30,
Swim_Stand,Swim_Stand,50,
SwimUp_Loop_F,SwimUp_Loop_F,24,
SwimUp_Loop_L,SwimUp_Loop_L,24,
SwimUp_Loop_R,SwimUp_Loop_R,24,
Walk_B,Walk_B,38,
Walk_F,Walk_F,38,
Walk_LB,Walk_LB,38,
Walk_LF,Walk_LF,38,
Walk_Pose_F,Walk_Pose_F,1,
Walk_Pose_L,Walk_Pose_L,1,
Walk_Pose_R,Walk_Pose_R,1,
Walk_RB,Walk_RB,38,
Walk_RF,Walk_RF,38,
XA_Loop_D,XA_Loop_D,160,
XA_Loop_L,XA_Loop_L,160,
XA_Loop_R,XA_Loop_R,160,
XA_Loop_RL_Mid,XA_Loop_RL_Mid,160,
XA_Loop_Stand,XA_Loop_Stand,160,
XA_Loop_U,XA_Loop_U,160,
XA_Shake_Loop,XA_Shake_Loop,120,
XA_Start,XA_Start,36,
Behit_B_L,Behit_B_L,61,
